fips,stusps,year,RTC,violent_rate
12,FL,2005,1987,708.8902194474595
12,FL,2006,1987,716.4335548237677
12,FL,2007,1987,722.5699389480118
12,FL,2008,1987,688.8566719045366
12,FL,2009,1987,612.4782125957204
12,FL,2010,1987,541.2766578854546
12,FL,2011,1987,514.6035297489944
12,FL,2012,1987,486.97388010637155
12,FL,2013,1987,469.34454992819406
12,FL,2014,1987,458.8916935389796
13,GA,1977,1989,439.8374721743254
13,GA,1978,1989,482.78924450226197
13,GA,1979,1989,558.6948759859606
13,GA,1980,1989,555.3384201436186
13,GA,1981,1989,548.15946459461
13,GA,1982,1989,478.15216925758557
13,GA,1983,1989,456.71657613285606
13,GA,1984,1989,478.5848823043892
13,GA,1985,1989,507.212232051667
13,GA,1986,1989,587.6309469745319
13,GA,1987,1989,576.4707111627872
13,GA,1988,1989,665.3490908076396
13,GA,1989,1989,735.8140378265313
13,GA,1990,1989,756.3193783598681
13,GA,1991,1989,738.2453192465065
13,GA,1992,1989,733.1655860500982
13,GA,1993,1989,723.1314260040509
13,GA,1994,1989,667.6541843625636
13,GA,1995,1989,657.0894434869305
13,GA,1996,1989,638.7323639314324
13,GA,1997,1989,606.5723664840382
13,GA,1998,1989,572.6510080599323
13,GA,1999,1989,533.9460987377122
13,GA,2000,1989,504.7240771336334
13,GA,2001,1989,495.7483880108569
13,GA,2002,1989,459.63232835438714
13,GA,2003,1989,454.5056038411844
13,GA,2004,1989,450.9578613696018
13,GA,2005,1989,445.9323569450409
13,GA,2006,1989,477.9397197961416
13,GA,2007,1989,491.5476484497731
13,GA,2008,1989,488.89382914833396
13,GA,2009,1989,428.0405481831693
13,GA,2010,1989,402.25876874207444
13,GA,2011,1989,374.64615672262266
13,GA,2012,1989,379.9550613587655
13,GA,2013,1989,375.38683637949777
13,GA,2014,1989,385.8026928357735
15,HI,1977,Inf,224.804520740909
15,HI,1978,Inf,270.1226187569548
15,HI,1979,Inf,289.7267275548318
15,HI,1980,Inf,299.4774857047379
15,HI,1981,Inf,247.59954097719339
15,HI,1982,Inf,255.73439471128435
15,HI,1983,Inf,252.1016459498332
15,HI,1984,Inf,231.85753810659264
15,HI,1985,Inf,219.44975392999254
15,HI,1986,Inf,245.19778773469366
15,HI,1987,Inf,263.2501862189967
15,HI,1988,Inf,257.09057712610814
15,HI,1989,Inf,270.14387233585234
15,HI,1990,Inf,280.89861754024207
15,HI,1991,Inf,241.7620891019222
15,HI,1992,Inf,258.4482824993995
15,HI,1993,Inf,261.1775198555438
15,HI,1994,Inf,262.17136026849175
15,HI,1995,Inf,295.6191977849784
15,HI,1996,Inf,280.5742613099555
15,HI,1997,Inf,277.9275154587051
15,HI,1998,Inf,246.94043833523966
15,HI,1999,Inf,234.92261738183512
